gesture,recording_id,timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
"Gesture4",18,22,0.794739,-0.156006,0.573792,-0.121155,0.662292,0.521606,-0.537354,-0.020813,0.201599,-0.078491,0.974548,-0.057983,0.194275,0.215393,0.944885,-0.15155,0.350464,0.212646,0.906555,-0.099915,0.25592,0.286682,0.921753,-0.051331
"Gesture4",18,23,0.794189,-0.156433,0.574402,-0.121338,0.639771,0.549622,-0.533875,-0.059326,0.202271,-0.078003,0.974426,-0.05835,0.194519,0.216003,0.944702,-0.15155,0.350281,0.214172,0.90625,-0.100342,0.255737,0.287781,0.921448,-0.051331
"Gesture4",18,24,0.793701,-0.155823,0.575073,-0.122498,0.6203,0.570068,-0.531128,-0.089661,0.20282,-0.077148,0.974365,-0.058716,0.19458,0.217041,0.944397,-0.151672,0.35022,0.215942,0.905762,-0.101013,0.255737,0.289307,0.920959,-0.051636
"Gesture4",18,25,0.793701,-0.155823,0.575073,-0.122498,0.60553,0.583679,-0.529053,-0.112427,0.203247,-0.075989,0.974365,-0.059082,0.194519,0.218567,0.944031,-0.151855,0.350037,0.217896,0.905273,-0.101807,0.255676,0.291077,0.920349,-0.052124
"Gesture4",18,26,0.793274,-0.155029,0.575562,-0.123779,0.592346,0.594055,-0.528076,-0.131409,0.203186,-0.074768,0.974426,-0.059387,0.19397,0.219849,0.943848,-0.152161,0.349426,0.219727,0.904968,-0.102539,0.25531,0.292725,0.919922,-0.052551
"Gesture4",18,27,0.793213,-0.15387,0.575623,-0.125244,0.582947,0.600464,-0.527466,-0.145935,0.202454,-0.073608,0.97467,-0.059448,0.192993,0.221191,0.943665,-0.152283,0.34845,0.221497,0.904907,-0.103088,0.254578,0.294434,0.919556,-0.052917
"Gesture4",18,28,0.793457,-0.152954,0.575256,-0.126648,0.575684,0.605347,-0.526245,-0.158508,0.200867,-0.072693,0.975037,-0.059387,0.191284,0.222351,0.943787,-0.152222,0.346619,0.223267,0.905151,-0.103271,0.252991,0.296082,0.919495,-0.052917
"Gesture4",18,29,0.794128,-0.152283,0.574219,-0.127686,0.569946,0.609314,-0.524597,-0.168945,0.198853,-0.072144,0.975525,-0.059448,0.189026,0.223206,0.944031,-0.152161,0.344421,0.224609,0.905579,-0.103516,0.250854,0.297424,0.919617,-0.052856
"Gesture4",18,30,0.795105,-0.151611,0.572937,-0.128479,0.566101,0.612122,-0.523071,-0.176208,0.198853,-0.072144,0.975525,-0.059448,0.186646,0.223633,0.944397,-0.152344,0.342163,0.225586,0.906189,-0.10376,0.248657,0.29834,0.919922,-0.052917
"Gesture4",18,31,0.796143,-0.151062,0.571533,-0.128723,0.564453,0.613586,-0.52179,-0.180237,0.196777,-0.071716,0.975952,-0.059631,0.184326,0.223999,0.944702,-0.15271,0.340027,0.226196,0.906799,-0.104187,0.246521,0.299011,0.920288,-0.053223
"Gesture4",18,32,0.797119,-0.150574,0.570374,-0.128601,0.56366,0.614746,-0.520569,-0.182251,0.194763,-0.071472,0.976379,-0.060059,0.182129,0.224121,0.945007,-0.153137,0.338135,0.226379,0.90741,-0.104736,0.244446,0.299377,0.920654,-0.053589
"Gesture4",18,33,0.798035,-0.150024,0.569336,-0.128174,0.56427,0.615112,-0.519348,-0.182739,0.192932,-0.071472,0.976685,-0.060669,0.180481,0.223999,0.945251,-0.15387,0.336792,0.226379,0.907776,-0.105408,0.243103,0.299377,0.921021,-0.054199
