gesture,recording_id,timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
"Gesture1",10,95,0.574891,0.502658,0.229363,-0.603506,0.926197,-0.375152,-0.022108,-0.030253,-0.635595,0.519872,-0.209783,-0.530778,0.568841,-0.724555,0.205651,0.330349,0.183986,-0.869653,0.257628,0.378766,0.881812,-0.460935,0.022016,0.097188
"Gesture1",10,96,0.574834,0.502635,0.229321,-0.603595,0.926151,-0.375247,-0.022519,-0.03017,-0.635499,0.520328,-0.209505,-0.530557,0.568719,-0.724851,0.205515,0.329994,0.183866,-0.869883,0.257381,0.378463,0.881691,-0.461242,0.022123,0.096806
"Gesture1",10,97,0.57482,0.5026,0.229293,-0.603648,0.926197,-0.375143,-0.022814,-0.029831,-0.635388,0.520675,-0.209108,-0.530506,0.56864,-0.725126,0.205009,0.32984,0.183801,-0.870097,0.257159,0.378154,0.881582,-0.461547,0.021866,0.096396
"Gesture1",10,98,0.574807,0.502559,0.229236,-0.603717,0.926307,-0.374916,-0.022824,-0.029263,-0.635202,0.520813,-0.208708,-0.53075,0.568539,-0.725338,0.204478,0.329879,0.18372,-0.870234,0.25653,0.378306,0.881472,-0.461828,0.021449,0.096153
"Gesture1",10,99,0.574813,0.502508,0.229183,-0.603774,0.926442,-0.374635,-0.022697,-0.028662,-0.63501,0.520722,-0.208396,-0.531192,0.568456,-0.7254,0.204013,0.330173,0.183648,-0.870256,0.255989,0.378657,0.881389,-0.462028,0.020968,0.096062
"Gesture1",10,100,0.574824,0.502458,0.229113,-0.603831,0.926582,-0.374352,-0.022423,-0.028057,-0.634818,0.520504,-0.208192,-0.531716,0.568391,-0.725313,0.20374,0.330645,0.183594,-0.870182,0.255597,0.379118,0.881333,-0.462148,0.020495,0.096091
"Gesture1",10,101,0.574855,0.502408,0.229048,-0.603868,0.926715,-0.374086,-0.021982,-0.027533,-0.634638,0.520288,-0.207984,-0.532222,0.56835,-0.7252,0.203498,0.331111,0.183574,-0.870073,0.255274,0.379594,0.881299,-0.462223,0.02003,0.096145
"Gesture1",10,102,0.57488,0.502359,0.228986,-0.603909,0.926829,-0.373868,-0.021462,-0.027092,-0.63445,0.52003,-0.207852,-0.532749,0.568305,-0.725059,0.203319,0.331607,0.183539,-0.86993,0.255047,0.380091,0.881276,-0.462254,0.019593,0.096299
"Gesture1",10,103,0.574877,0.50232,0.228936,-0.603963,0.92692,-0.373699,-0.020927,-0.026726,-0.634258,0.519739,-0.207781,-0.53329,0.568237,-0.724939,0.203139,0.332097,0.183477,-0.869809,0.254804,0.380561,0.88122,-0.462359,0.01915,0.096399
"Gesture1",10,104,0.574855,0.502297,0.228869,-0.604028,0.927009,-0.373533,-0.020438,-0.026336,-0.634067,0.51947,-0.207719,-0.533804,0.568152,-0.724829,0.202981,0.332579,0.183382,-0.869707,0.254548,0.381012,0.881153,-0.46248,0.018728,0.096508
"Gesture1",10,105,0.574848,0.502279,0.22882,-0.604069,0.927109,-0.373335,-0.019994,-0.025933,-0.633903,0.519193,-0.207622,-0.534305,0.568101,-0.724723,0.202782,0.333018,0.183343,-0.869594,0.254318,0.381441,0.881112,-0.462549,0.018298,0.096634
"Gesture1",10,106,0.574851,0.502265,0.228796,-0.604086,0.92721,-0.373134,-0.019569,-0.025566,-0.633758,0.518969,-0.207451,-0.534761,0.568083,-0.7246,0.202598,0.333428,0.183333,-0.869488,0.254077,0.381846,0.88108,-0.462611,0.017849,0.096719
"Gesture1",10,107,0.574843,0.502269,0.228774,-0.604099,0.927294,-0.372969,-0.019166,-0.025223,-0.633609,0.518752,-0.207322,-0.535198,0.56806,-0.724482,0.202439,0.33382,0.183306,-0.869369,0.253911,0.382241,0.881045,-0.462669,0.017406,0.096834
"Gesture1",10,108,0.574793,0.502296,0.228727,-0.604142,0.927298,-0.372989,-0.018694,-0.025107,-0.633461,0.518432,-0.207455,-0.535631,0.567999,-0.724333,0.202429,0.334252,0.183227,-0.869229,0.253865,0.382629,0.880997,-0.462733,0.017012,0.09704
"Gesture1",10,109,0.574743,0.50235,0.228721,-0.604147,0.92722,-0.373182,-0.01838,-0.02536,-0.633372,0.518102,-0.207635,-0.535986,0.567986,-0.724099,0.202873,0.33451,0.183185,-0.869035,0.254083,0.382944,0.881013,-0.462669,0.017506,0.097115
"Gesture1",10,110,0.574677,0.502418,0.228698,-0.604162,0.927042,-0.373585,-0.018468,-0.025879,-0.633455,0.518112,-0.208098,-0.535698,0.567931,-0.72419,0.203267,0.334171,0.183086,-0.869074,0.254563,0.382584,0.881013,-0.462627,0.018003,0.097216
"Gesture1",10,111,0.57461,0.502488,0.228692,-0.604169,0.926895,-0.373923,-0.018361,-0.026334,-0.633554,0.518237,-0.208497,-0.535306,0.567884,-0.724228,0.203707,0.333899,0.182986,-0.869116,0.255023,0.382231,0.881033,-0.462524,0.018463,0.09744
"Gesture1",10,112,0.574541,0.502562,0.228705,-0.604169,0.926736,-0.374278,-0.018393,-0.026856,-0.633665,0.518343,-0.208881,-0.534922,0.567836,-0.724294,0.204106,0.333592,0.182897,-0.869111,0.255541,0.381938,0.88107,-0.462369,0.018844,0.097773
"Gesture1",10,113,0.574448,0.502654,0.228694,-0.604184,0.926563,-0.374663,-0.018469,-0.027384,-0.633758,0.518498,-0.209248,-0.534518,0.567765,-0.724373,0.204526,0.333285,0.182786,-0.86913,0.256059,0.381602,0.881083,-0.462263,0.019264,0.09807
"Gesture1",10,114,0.574349,0.502762,0.228685,-0.604192,0.926384,-0.375058,-0.018644,-0.02793,-0.633863,0.518668,-0.209603,-0.534089,0.567712,-0.724471,0.20492,0.33292,0.182698,-0.869196,0.256531,0.381175,0.881082,-0.462232,0.019738,0.098136
"Gesture1",10,115,0.574243,0.502866,0.228672,-0.604211,0.926199,-0.375459,-0.018967,-0.028432,-0.633955,0.518927,-0.209897,-0.533612,0.567651,-0.724577,0.205303,0.332557,0.182604,-0.869284,0.256955,0.380734,0.881075,-0.462212,0.020212,0.098189
"Gesture1",10,116,0.574149,0.502947,0.228677,-0.604232,0.926031,-0.37582,-0.019347,-0.028883,-0.634042,0.519195,-0.210146,-0.533151,0.567589,-0.724729,0.205592,0.332154,0.182509,-0.869401,0.257285,0.38029,0.881064,-0.462209,0.020662,0.098213
"Gesture1",10,117,0.574059,0.503008,0.228683,-0.604264,0.925885,-0.37613,-0.019808,-0.029218,-0.634113,0.519459,-0.210377,-0.532717,0.567513,-0.724922,0.20579,0.331739,0.182404,-0.86955,0.257508,0.379848,0.881039,-0.462247,0.021093,0.098166
"Gesture1",10,118,0.573983,0.503052,0.228679,-0.604301,0.925764,-0.376385,-0.0203,-0.029434,-0.634167,0.519819,-0.210468,-0.532267,0.567445,-0.725138,0.205903,0.331312,0.18232,-0.869722,0.257632,0.37941,0.881018,-0.462291,0.021509,0.098058
"Gesture1",10,119,0.573917,0.503079,0.228662,-0.604348,0.92567,-0.376583,-0.02079,-0.029503,-0.634127,0.520307,-0.210253,-0.531921,0.567357,-0.725425,0.205827,0.330881,0.182227,-0.869894,0.257715,0.379004,0.880993,-0.462349,0.021916,0.09792
"Gesture1",10,120,0.573891,0.50307,0.22867,-0.604377,0.925621,-0.376681,-0.021256,-0.029473,-0.634124,0.520743,-0.21006,-0.531574,0.567281,-0.725725,0.205619,0.330485,0.182157,-0.870085,0.257664,0.378633,0.88097,-0.462416,0.022269,0.097731
"Gesture1",10,121,0.573878,0.503021,0.228666,-0.604432,0.92558,-0.376763,-0.021663,-0.029422,-0.634109,0.521135,-0.209891,-0.531275,0.567179,-0.726037,0.205292,0.330176,0.182055,-0.870322,0.257331,0.378364,0.880848,-0.462747,0.022062,0.097311
"Gesture1",10,122,0.57386,0.502984,0.228625,-0.604495,0.925592,-0.376737,-0.021988,-0.02915,-0.633987,0.521473,-0.209523,-0.531234,0.567054,-0.726359,0.204875,0.329943,0.181934,-0.870554,0.256728,0.378298,0.880718,-0.46309,0.021801,0.096913
